comment,time,rating,sentiment
"Chỗ ngồi thoải mái, nhân viên ok, âm thanh trong rạp đã hay hơn lúc mới mở nhiều",4 năm trước,4 sao,hài lòng
"View chụp hình đẹp, không gian thoáng, giá vé xem phim bình dân k quá đắt",2 năm trước,5 sao,hài lòng
"Rạp này màn hình hơi to, ngồi hàng sau thì oke chứ ngồi trước đau mắt cực. Được cái bắp nước khá oke",4 năm trước,4 sao,hài lòng
Hay đi vì giá vé bình dân nhưng mà cskh tệ,một năm trước,2 sao,không hài lòng
"Rạp tạm ổn, ghế hơi bé so với cgv, hàng ghế tình nhân rất sáng tạo cho sự riêng tư",2 năm trước,5 sao,hài lòng
"Rạp phim màn hình chất và âm thanh sống động, bác giữ xe vui tính tới tận suất cuối cùng",4 năm trước,5 sao,hài lòng
"Kinh doanh rạp chiếu phim, trò chơi đi tử, ăn uống. Nhưng trò chơi điện tử thì khá tốn tiền, không nên chơi",2 năm trước,3 sao,trung bình
"rạp khá thoải mái, giá vừa túi tiền sinh viên và ghế ngồi cũng thoải mái nữa.",3 năm trước,5 sao,hài lòng
"Rạp mới sạch sẽ, nhưng để điều hòa lạnh quá. Trẻ trâu cũng đông nên ngồi xem toàn gặp các bình luận viên bất đắc dĩ",4 năm trước,4 sao,hài lòng
"Rạp phim mới, giá rẻ và chất lượng",một năm trước,5 sao,hài lòng
"Rạp bé nên ngồi ở những hàng ghế đầu xem phim sẽ hơi khó chịu, điểm cộng là bắp khá ngon",5 năm trước,4 sao,hài lòng
"Ok giá rẻ âm thanh rap and hình ảnh rất tốt
Phim 2d chỉ có 45k quá rẻ",3 năm trước,5 sao,hài lòng
Xem phim rất ổn,7 tháng trước,5 sao,hài lòng
"Rạp đẹp, sạch chớ ko như bên Lotte, ghế vừa cũ vừa hôi , nhân viên  dễ thương",4 năm trước,5 sao,hài lòng
Rất oke. Nhân viên nhiệt tình. Có rất nhiều trò chơi dịch vụ ăn uống ẩm thực.,4 năm trước,5 sao,hài lòng
rạp chiếu hiện đại với nhiều phim hay cập nhật liên tục. nhiều ưu đãi dành cho thành viên Metiz,4 năm trước,5 sao,hài lòng
"Phim hay, rạp đẹp, giá tốt",một năm trước,5 sao,hài lòng
Cách đây 1 năm,3 năm trước,5 sao,hài lòng
"Rạp phim sạch sẽ và đẹp đẽ, chất lượng",một năm trước,5 sao,hài lòng
"Rạp mát mẻ, sạch sẽ, nhân viên phục vụ niềm nỡ, rất tốt, 5*😘😘😘 …",2 năm trước,5 sao,hài lòng
"Rạp đẹp, có điều ghế hơi gần màn hình quá! Đánh giá 4*",3 năm trước,4 sao,hài lòng
"Chỗ xem phim khá lý tưởng, sạch sẽ, ghế ngồi thoair mái, màn hình cũng rất dễ nhìn",4 năm trước,4 sao,hài lòng
"Rạp không nhắc người xem tắt điện thoại, nên mọi người sử dụng rất nhiều trong khi đang xem.",4 năm trước,2 sao,không hài lòng
"Rạp đẹp lắm nhưng phòng chiếu hơi nhỏ, nên chọn ghế hàng cuối",3 năm trước,4 sao,hài lòng
"Ghế ngồi bằng da khá êm, màn hình rộng nên ngồi hàng cuối vẫn thấy to
Hơi xa trung tâm thành phố",5 năm trước,4 sao,hài lòng
Ghế ngồi hơi đau lưng. Phục vuh nhiệt tình,một năm trước,5 sao,hài lòng
"Vé mắc, bắp mắc , coop mart rẻ hơn b",11 tháng trước,3 sao,trung bình
"An ninh rạp quá kém, để tình trạng ô nhiễm tiếng ồn lúc xem phim rất nhiều!",4 năm trước,2 sao,không hài lòng
"Giá ổn, rạp khá mới, là điểm đến ưu thích của khá nhiều bạn trẻ",5 năm trước,4 sao,hài lòng
"Rạp nhỏ, màn hình nghiêng, khó bao quát nếu không ngồi ở 2 hàng cuối cùng.",5 năm trước,4 sao,hài lòng
Rạp tuy mới nhưng phòng chiếu bố trí không được hợp lý. Cảm giác đau mắt!,4 năm trước,5 sao,hài lòng
"Rạp nhỏ nhưng giá hạt dẻ, bắp nước ổn, phục vụ ok",4 năm trước,5 sao,hài lòng
"giá cả hợp lí,chất lượng ổn.Không gian đẹp.",một năm trước,4 sao,hài lòng
Nếu canh đúng ngày giảm thì vé quá rẻ. Lựa  phim hay nữa là nhất luôn :)),4 năm trước,5 sao,hài lòng
Cũng đc. Con nít hơi nhiều. Quá ồn ào. Mất đi cảm giác xem phim. K cảm nhận được,4 năm trước,4 sao,hài lòng
"Rạp chiếu phim với màn hình chiếu rất sắc nét, máy móc chiếu phim hiện đại và phòng chiếu rất rộng rãi",4 năm trước,5 sao,hài lòng
Nhiều phim hơn các rạp khác. Nói chung là quá ổn.,5 năm trước,5 sao,hài lòng
"Rạp phim âm thanh cực chuẩn, hình ảnh đẹp và thoải mái.",5 năm trước,5 sao,hài lòng
Có không gian xem phim và chơi cho trẻ,một năm trước,5 sao,hài lòng
"Một sự lựa chọn thú vị khác cho các tin đồ xem phim rạp tại Đà Nẵng,",4 năm trước,5 sao,hài lòng
Tuyệt vời,5 năm trước,5 sao,hài lòng
Phòng chiếu nhỏ nhưng ko có cảm giác ngộp như lotte. Nói chung là ok.,4 năm trước,4 sao,hài lòng
"Rạp mới nhưng màn hình sát quá, lối đi hơi bất tiện.",4 năm trước,4 sao,hài lòng
"Nhân viên dễ thương, phụ vụ tốt. Rạp mát mẻ, sạch sẽ",4 năm trước,5 sao,hài lòng
"Rạp chiếu phim ở đây khá nhỏ, chất lượng vừa phải",5 năm trước,3 sao,trung bình
"Xem phim giá khá rẻ , có cả giải trí khá vui",3 năm trước,5 sao,hài lòng
"Rạp mới nên màn chiếu, ghế và âm thanh rất tuyệt vời",5 năm trước,4 sao,hài lòng
"Khônh gian đẹp, dịch vụ tốt, trong rạp thì âm thanh hay",3 năm trước,5 sao,hài lòng
Rạp mới sạch sẽ nhưng khá nhỏ ngồi hàng kế cuối vẫn thấy hơi đau mắt!,5 năm trước,4 sao,hài lòng
"Sạch đẹp thoải mái tiện nghi, đặt vé online hơi bất tiên chút",5 năm trước,5 sao,hài lòng
"Rạp nhỏ vừa xem, giá rẻ phù hợp sinh viên, học sinh",3 năm trước,4 sao,hài lòng
Tôi thấy Google Maps còn thiếu nên đã thêm điểm chiếu phim này vào,5 năm trước,5 sao,hài lòng
1 sự lựa chọn tuyệt vời,4 năm trước,5 sao,hài lòng
Rạp chất lượng. Giá phải chăng. View đẹp. Lịch sự,4 năm trước,5 sao,hài lòng
Khá tốt để xem phim và giải trí. Vị trí thoáng dễ đi lại và đậu xe.,5 năm trước,4 sao,hài lòng
"Rạp chiếu chỉ thấy phòng 5 có màn hình cong, phòng khác nhỏ",5 năm trước,3 sao,trung bình
"Tiện đường, gởi xe 3k.  Rạp rộng,  màn chiếu rộng,  ghế ngồi hợp lí",4 năm trước,4 sao,hài lòng
"Rạp rộng rãi, điều hoà vừa phải k quá lạnh như lotte",4 năm trước,5 sao,hài lòng
"5 sao cho rạp, dịch vụ ok, giá thành Hợp lý",3 năm trước,5 sao,hài lòng
Đi như bao rạp.kkk,4 năm trước,5 sao,hài lòng
"Rạp chiếu phim mới, nhân viên nhiệt tình.",4 năm trước,4 sao,hài lòng
Rep rất ok. Nhân viên thân thiện và bắp cũng rất ngon,5 năm trước,5 sao,hài lòng
Ghế ngồi hơi khó xem. Màn hình rộng quá nên ngồi xem mệt mắt lắm 😥 …,3 năm trước,3 sao,trung bình
"Phim hay và nhân viên thân thiện
Và.. Và có trai đẹp",3 năm trước,5 sao,hài lòng
"Rạp phim phong cách hiện đại, màn hình to coi rất sướng",4 năm trước,5 sao,hài lòng
Rạp chiếu phim đẹp,8 tháng trước,5 sao,hài lòng
"Giá vé hơi cao, nhân viên nhiệt tình",4 năm trước,4 sao,hài lòng
"đẹp, kế bên helio nên là khu vui chơi khá thú vị",4 năm trước,5 sao,hài lòng
"Nhỏ quá, hàng ghế đầu chỉ cách màn hình khoảng 3m?!!",4 năm trước,2 sao,không hài lòng
Chỗ ngồi hơi sát màn hình so vs những rạp khác.,4 năm trước,3 sao,trung bình
Ghế hơi cứng..còn lại mọi thứ rất tốt.,một năm trước,4 sao,hài lòng
Hẹn metiz vào một khác đầy nắng và gió :3,một năm trước,5 sao,hài lòng
"View chụp ảnh đẹp, chất lượng xem phim tốt:v",4 năm trước,5 sao,hài lòng
Bắp ở metiz siêu ngonnn,10 tháng trước,5 sao,hài lòng
Ngoài sư lưa chon cgv. Bạn có thể đến đây xem phim,3 năm trước,5 sao,hài lòng
Tuyệt. Dịch vụ tốt. Ẩm thực thì được. Giá chấp nhận.,4 năm trước,5 sao,hài lòng
"Rạp nhỏ, ghế gần màn hình, xem nhức mắt quá",5 năm trước,3 sao,trung bình
"Very pleasure with the services here. Friendly customers.
Cực hài lòng với dịch vụ ở đây. Nhân viên thân thiện.",5 năm trước,5 sao,hài lòng
"Vừa mở cửa ,  phục vụ tốt.
Xem. Film cũng tạm ổn",5 năm trước,4 sao,hài lòng
Đã có vé qua mail rồi còn bắt lấy vé giấy,4 năm trước,2 sao,không hài lòng
"Rất oke. Coi phim màng hình to, coi rấy đã",5 năm trước,5 sao,hài lòng
Đẹp,2 tháng trước,4 sao,hài lòng
"bãi giữ xe hơi nắng, dịch vụ cơ bản được",2 năm trước,3 sao,trung bình
"Rạp chất lượng, nhân viên phục vụ rất tốt",4 năm trước,4 sao,hài lòng
"Tốt, giá hợp lý có khu sống ảo hehe",4 năm trước,5 sao,hài lòng
Đẹp và rẻ. Có nhiều ưu đãi hấp dẫn,4 năm trước,4 sao,hài lòng
"Phục vụ tốt, view đẹp, chất lượng phòng chiếu cao",3 năm trước,5 sao,hài lòng
"Chụp hình sống ảo ở Metiz cực được nuôn nhé  :""333",4 năm trước,5 sao,hài lòng
Tuyệt vời,7 tháng trước,5 sao,hài lòng
Tầm nhìn hơi gần. Nhưng đẹp và âm thanh tốt,5 năm trước,4 sao,hài lòng
Còn độc thân cần kiếm pé đi xem phim chung.hihi,4 năm trước,5 sao,hài lòng
"phòng sang , sạch sẽ. âm thanh tốt. lối đi hơi nhỏ . Giá tốt",5 năm trước,5 sao,hài lòng
Mọi thứ đều oke. Trừ việc ghế hơi nhỏ,2 năm trước,4 sao,hài lòng
"Ghế thoải mái, bắp ngon, âm thanh sống động",4 năm trước,5 sao,hài lòng
Xem phim đếm không xuể. Hài lòng.,3 năm trước,5 sao,hài lòng
Chất lượng rạp cũng như phục vụ rất tốt,4 năm trước,5 sao,hài lòng
Nơi phục vụ và kỷ niệm khó quên đối với tôi,4 năm trước,5 sao,hài lòng
Chân ái lun r trừ cái rạp hơi nhỏ,2 năm trước,5 sao,hài lòng
Khá tốt,4 năm trước,5 sao,hài lòng
"Bth, rạp hơi nhỏ, có khu vui chơi",5 năm trước,4 sao,hài lòng
Rạp hơi nhỏ nhưng đủ để trải nghiệm,4 năm trước,5 sao,hài lòng
"Rạp sạch sẽ, thoáng mát, nhận viên thân thiện",4 năm trước,5 sao,hài lòng
Rạp phim khá ổn,11 tháng trước,5 sao,hài lòng
Giá vé tốt phụ vụ chu đáo,4 năm trước,5 sao,hài lòng
Mình coi frozen 2 bị tua mất đoạn cuối,4 năm trước,3 sao,trung bình
Tương đối ok. Nhân viên thân thiện.,4 năm trước,4 sao,hài lòng
Không gian tốt vé vừa túi tiền,4 năm trước,5 sao,hài lòng
"Màn hình quá gần, coi xong đù người",3 năm trước,3 sao,trung bình
Helio và metiz cinema điểm đến  cuối tuần tuyệt vời,4 năm trước,5 sao,hài lòng
nơi thư giãn phù hợp,11 tháng trước,4 sao,hài lòng
"Khá rộng, khu vui chơi đa dạng.",4 năm trước,4 sao,hài lòng
Đầy đủ các thể loại giải trí,một năm trước,5 sao,hài lòng
"Đi xem nhớ mang theo áo khoác
Tuyệt vời",4 năm trước,5 sao,hài lòng
"Ghế ngồi thoải mái, màn hình xem rộng",5 năm trước,5 sao,hài lòng
"Bắp phô mai ngon, mà hết hơi nhanh",3 năm trước,5 sao,hài lòng
Cần cải thiện hệ thống đặt vé online,3 năm trước,1 sao,không hài lòng
"Tạm ổn, giá vé khá mềm.",4 năm trước,4 sao,hài lòng
Khách đông vui vẻ đi xem phim,3 năm trước,5 sao,hài lòng
Thoáng mát. Giá phim rẻ,một năm trước,5 sao,hài lòng
Rạp khá là sạch và rất là thoáng,4 năm trước,4 sao,hài lòng
"Giá rẻ, dịch vụ tốt",2 năm trước,5 sao,hài lòng
"Nhiều trò giải trí, hợp cho trẻ em!",4 năm trước,4 sao,hài lòng
"Rạp nhỏ, phònh chờ đẹp.",5 năm trước,3 sao,trung bình
Màn hình lớn. Nên ngồi từ hàng F,5 năm trước,4 sao,hài lòng
Rộng rãi . Ko gian rất thoải mái,3 năm trước,4 sao,hài lòng
Ghế ngồi không sướng thôi còn lại tốt hêta,4 năm trước,4 sao,hài lòng
Ko có ghế cho bố xem nhá,4 năm trước,1 sao,không hài lòng
"Giá rẻ, nhân viên nhiệt tình",4 năm trước,5 sao,hài lòng
"Tới đây lần thứ 3 rồi , rất rất rất hài lòng",4 năm trước,5 sao,hài lòng
Yêu,một năm trước,5 sao,hài lòng
"Rạp oke, chờ hơi lâu.",4 năm trước,4 sao,hài lòng
Phục vụ nhanh nhân viên vui tính,4 năm trước,5 sao,hài lòng
"Giá cả hợp lý, rạp chuẩn",5 năm trước,5 sao,hài lòng
"Rạp mới đẹp, hơi nhỏ",5 năm trước,4 sao,hài lòng
Máy chiếu rạp 5 xem khá mờ,4 năm trước,3 sao,trung bình
Nhân viên ở đây rất tốt.,4 năm trước,5 sao,hài lòng
Bán vé lỗi quá.Bán đường dẫn nẻo,3 năm trước,1 sao,không hài lòng
"Nơi xem phim thú vị
Oke",11 tháng trước,5 sao,hài lòng
Bình thường như mọi rạp :),2 năm trước,3 sao,trung bình
"Rạp đẹp, giá vé rẻ",4 năm trước,5 sao,hài lòng
Đẹp cả người lân cảnh =)),4 năm trước,5 sao,hài lòng
Thích. 1 số rạp hơi bé,5 năm trước,5 sao,hài lòng
nay sửa lại thấy ok hơn nhiều,4 năm trước,5 sao,hài lòng
"Nhân viên ok,phòng sạch sẽ",4 năm trước,5 sao,hài lòng
"man hinh to, ghe ngoi ok, nhan vien niem no",5 năm trước,4 sao,hài lòng
Xem phim khá ok,4 năm trước,5 sao,hài lòng
"Giá rẻ, không gian đẹp.",4 năm trước,5 sao,hài lòng
"Trải nghiệm tốt, giá vé thấp",5 năm trước,5 sao,hài lòng
Nơi giải trí tuyệt vời tại Đà Nẵng,5 năm trước,5 sao,hài lòng
mọng rạp làm cái sweetbox <3,4 năm trước,5 sao,hài lòng
Rất tiện cho mọi người,5 năm trước,5 sao,hài lòng
Quá đông. Đi trễ hết phim,4 năm trước,5 sao,hài lòng
"Sạch sẽ, nhân viên thân thiện",3 năm trước,5 sao,hài lòng
Tuyệt vời,một năm trước,5 sao,hài lòng
"Phòng chiếu sảnh đẹp, tốt",5 năm trước,5 sao,hài lòng
"Mới xem Endgame, chất lượng ok",4 năm trước,5 sao,hài lòng
Mát mẻ. Sạch sẽ. Vui vẻ 😅😅😅 …,4 năm trước,5 sao,hài lòng
"Rạp có ghế da, ok",4 năm trước,4 sao,hài lòng
"lịch sự, đàng hoàng, sạch sẽ, được !",4 năm trước,5 sao,hài lòng
Giá cả hợp lý,4 năm trước,5 sao,hài lòng
rạp rẻ và chất lượng,4 năm trước,5 sao,hài lòng
Coi phim đã lắm,3 năm trước,5 sao,hài lòng
Dịch vụ tốt rất hài lòng,4 năm trước,5 sao,hài lòng
Rất đa dạng và phong phú,4 năm trước,4 sao,hài lòng
Rạp xem phim tốt,2 năm trước,5 sao,hài lòng
có do ăn ngon,4 năm trước,4 sao,hài lòng
Không được đã cho lắm,5 năm trước,1 sao,không hài lòng
"sạch, đẹp, thoải mái",3 năm trước,5 sao,hài lòng
toilet đèn lúc sáng lúc tắt,5 năm trước,3 sao,trung bình
rạp bài trí ấn tượng,4 năm trước,5 sao,hài lòng
Rạp phim hay :)),3 năm trước,5 sao,hài lòng
Rất đẹp,2 năm trước,5 sao,hài lòng
Ok nha🥴🥴 …,2 năm trước,5 sao,hài lòng
Rạp chiếu phim OK,3 năm trước,4 sao,hài lòng
Xem phim tuyệt vời,5 năm trước,5 sao,hài lòng
Mát mẻ . hợp túi tiền,4 năm trước,4 sao,hài lòng
Rất đẹp và mát,4 năm trước,5 sao,hài lòng
Tuyệt vời,3 năm trước,5 sao,hài lòng
Chất lượng âm thanh tốt,2 năm trước,4 sao,hài lòng
Một trải nghiệm tuyệt vời,4 năm trước,5 sao,hài lòng
Tốt,10 tháng trước,5 sao,hài lòng
"Thú vị, không gian đep",4 năm trước,5 sao,hài lòng
Rất Tốt!,4 năm trước,5 sao,hài lòng
Rạp khá ổn,3 năm trước,3 sao,trung bình
Khá tốt,5 năm trước,4 sao,hài lòng
Cũng ổn,5 năm trước,4 sao,hài lòng
Rạp này chuẩn,4 năm trước,5 sao,hài lòng
Rất ok,4 năm trước,5 sao,hài lòng
Rạp hơi nhỏ,4 năm trước,3 sao,trung bình
Không gian đẹp,5 năm trước,4 sao,hài lòng
Rât tốt,4 năm trước,5 sao,hài lòng
Rất vui,4 năm trước,5 sao,hài lòng
Nhân viên xinh cực 🤣 …,3 năm trước,5 sao,hài lòng
Khá ok,4 năm trước,5 sao,hài lòng
Khá sạch,4 năm trước,5 sao,hài lòng
Ổn,một năm trước,5 sao,hài lòng
Rạp coi sướng,3 năm trước,5 sao,hài lòng
Khá tuyệt,4 năm trước,2 sao,không hài lòng
"Phòng nhỏ, toilet xa!",4 năm trước,3 sao,trung bình
Thoải mái,4 năm trước,5 sao,hài lòng
Sẽ ko bao h đến đây lần nào nữa 😡😡😡😡😡😡😡😡😡😡😡😡😡 …,4 năm trước,1 sao,không hài lòng
"Phòng nhỏ, ghế ngồi nhỏ, cứng",4 năm trước,2 sao,không hài lòng
xem phim toàn phim mới,4 năm trước,5 sao,hài lòng
"Rạp nhỏ, sát mắt",5 năm trước,5 sao,hài lòng
Dịch vụ rất tốt,5 năm trước,5 sao,hài lòng
Phục vụ tốt,4 năm trước,4 sao,hài lòng
Rạp hơ nhỏ,5 năm trước,4 sao,hài lòng
tạm được,2 năm trước,3 sao,trung bình
Tạm ổn.,5 năm trước,4 sao,hài lòng
Rẻ và sạch,3 năm trước,5 sao,hài lòng
Phim hay,3 năm trước,4 sao,hài lòng
Tốt,một năm trước,5 sao,hài lòng
Dịch vụ tốt,4 năm trước,5 sao,hài lòng
Rạp đẹp,4 năm trước,4 sao,hài lòng
cũng đc.,4 năm trước,4 sao,hài lòng
Rạp tốt,3 năm trước,5 sao,hài lòng
"Rạp nhỏ ,cute",4 năm trước,5 sao,hài lòng
Trải nghiệm tuyệt vời,4 năm trước,5 sao,hài lòng
Hơi ít phim,5 năm trước,5 sao,hài lòng
Rạp hơi bé,5 năm trước,5 sao,hài lòng
Khá sạch sẽ,4 năm trước,4 sao,hài lòng
Rạp phim,3 năm trước,4 sao,hài lòng
Cũng dc :D,5 năm trước,4 sao,hài lòng
Nhỏ nhỏ,5 năm trước,4 sao,hài lòng
Tạm được,5 năm trước,4 sao,hài lòng
View đẹp,4 năm trước,5 sao,hài lòng
"rộng, rạp mới",4 năm trước,4 sao,hài lòng
Tạm ổn,4 năm trước,5 sao,hài lòng
Trên cả tuyệt vời,4 năm trước,5 sao,hài lòng
thích,một năm trước,5 sao,hài lòng
Rạp hơi nhỏ,5 năm trước,4 sao,hài lòng
Tuyệt vời,4 năm trước,5 sao,hài lòng
Thích 4 sao,4 năm trước,4 sao,hài lòng
Đẹp.,4 năm trước,5 sao,hài lòng
Cũng được …,3 năm trước,5 sao,hài lòng
Chất lượng tốt.,4 năm trước,5 sao,hài lòng
Tốt.,5 năm trước,5 sao,hài lòng
Tuyệt vời,4 năm trước,5 sao,hài lòng
Phục vụ tốt,4 năm trước,5 sao,hài lòng
Phim,2 năm trước,3 sao,trung bình
Hay,một năm trước,5 sao,hài lòng
"Mát, sạch sẽ,duyệt",4 năm trước,4 sao,hài lòng
Phim hay,5 năm trước,5 sao,hài lòng
Tuyệt vời!,3 năm trước,5 sao,hài lòng
Vui,3 năm trước,5 sao,hài lòng
Tuyệt,3 năm trước,5 sao,hài lòng
Đẹp,4 năm trước,5 sao,hài lòng
Được,4 năm trước,5 sao,hài lòng
Tạm ổn,4 năm trước,4 sao,hài lòng
Dịch vụ tốt,5 năm trước,5 sao,hài lòng
Rạp đẹp,3 năm trước,5 sao,hài lòng
Tuyệt vời.,4 năm trước,5 sao,hài lòng
Hoành tráng,một năm trước,5 sao,hài lòng
Dc,2 năm trước,5 sao,hài lòng
Hay,2 năm trước,5 sao,hài lòng
Tạm,5 năm trước,4 sao,hài lòng
Đẹp,5 năm trước,4 sao,hài lòng
Hay,5 năm trước,5 sao,hài lòng
Hay,5 năm trước,4 sao,hài lòng
Hay,4 năm trước,5 sao,hài lòng
Dc,4 năm trước,3 sao,trung bình
Tuyệt vời,4 năm trước,5 sao,hài lòng
Rạp hơi nhỏ,4 năm trước,4 sao,hài lòng
Tốt,2 năm trước,5 sao,hài lòng
Hay,một năm trước,5 sao,hài lòng
Đẹp,4 năm trước,5 sao,hài lòng
Phim hay,3 năm trước,5 sao,hài lòng
Tốt,5 năm trước,5 sao,hài lòng
Đẹp,4 năm trước,5 sao,hài lòng
Đẹp,4 năm trước,5 sao,hài lòng
Đẹp,4 năm trước,5 sao,hài lòng
Tốt,4 năm trước,4 sao,hài lòng
Tốt,4 năm trước,3 sao,trung bình
Tốt,5 năm trước,5 sao,hài lòng
Rạp đẹp,5 năm trước,5 sao,hài lòng
Đẹp,4 năm trước,5 sao,hài lòng
Tốt,2 năm trước,5 sao,hài lòng
Đẹp,5 năm trước,5 sao,hài lòng
Được,4 năm trước,5 sao,hài lòng
Đẹp,5 năm trước,4 sao,hài lòng
Tốt,4 năm trước,5 sao,hài lòng
Tốt,4 năm trước,4 sao,hài lòng
Mình đi buổi trưa nên chỉ có mình mình. Dịch vụ vẫn ổn. Âm thanh và sàng lọc tốt đẹp! Giá cả hợp lý. Tôi chắc chắn sẽ quay lại đây một lần nữa.,một tuần trước,5 sao,hài lòng
"Rạp chiếu phim rẻ và tốt!! Mình đã đi nhiều nơi nhưng thấy ở đây là ổn nhất. Âm thanh hơi thất vọng nhưng màn hình lớn và ghế ngồi được trang bị tốt.
Hàng ghế sau được dành riêng cho các cặp đôi và bất kỳ ai cũng có thể đặt vé trước trực tuyến (nếu có thẻ tín dụng).",7 tháng trước,5 sao,hài lòng
"Một tòa nhà hoàn chỉnh dành cho các hoạt động dành cho trẻ em ở mọi lứa tuổi. Gymboree dành cho trẻ mới biết đi, đồ bơm hơi dành cho trẻ nhỏ và trò chơi điện tử dành cho trẻ nhỏ. Rạp chiếu phim phức hợp, khu vực chỗ ngồi đẹp. Một nơi được …",4 tháng trước,5 sao,hài lòng
"Tôi đã xem một hoạt động không chính thức với bạn gái của mình trên ghế cặp đôi.
2 cặp đôi được độc quyền vào toàn bộ rạp hát. cười …",4 tháng trước,5 sao,hài lòng
"Có lẽ vì chợ đêm Helio nằm ngay cạnh nên cuối tuần rất đông đúc. (Nếu bạn đi vào ngày thường thì hầu như không có người.)
Khu trò chơi điện tử thực sự lớn và cơ sở vật chất cũng rất tốt. …",một năm trước,5 sao,hài lòng
"chất lượng tốt với chi phí thấp, yêu thích bỏng ngô caramel và phô mai
45.000đ/vé",7 tháng trước,5 sao,hài lòng
"Có một rạp chiếu phim, một khu trò chơi điện tử và một công viên dành cho trẻ em.
Một phần trần nhà được trang trí đẹp mắt bằng những chiếc đèn lồng, ngoài ra không có gì khác.",một năm trước,3 sao,trung bình
